2481, -1
3180, 1
1704, -1
1296, -1
3728, -1
2080, 1
425, -1
2952, 1
3883, -1
343, -1
3617, -1
12, -1
1789, 1
1249, -1
215, 1
2595, -1
833, -1
3410, -1
1361, -1
3988, -1
2118, 1
1316, 1
4219, -1
2953, -1
2610, 1
2276, -1
3819, 1
3580, -1
4120, 1
3058, -1
969, 1
846, -1
3345, -1
3298, -1
795, -1
3536, 1
1717, -1
2550, 1
4198, -1
3419, 1
1708, 1
1595, -1
1887, -1
506, -1
3660, 1
3041, 1
170, -1
1899, -1
784, 1
1101, -1
3799, -1
1301, 1
3707, -1
1820, -1
18, -1
602, -1
922, -1
3121, -1
4101, 1
178, -1
2142, -1
894, -1
1722, -1
2068, -1
1939, -1
2324, -1
2589, 1
1978, 1
3708, 1
3667, 1
2337, 1
2748, -1
700, 1
1208, 1
3911, -1
