47565, 1
12565, 1
50719, 1
39795, 1
18826, -1
6856, -1
37518, -1
40, -1
7413, -1
46028, -1
45926, -1
15862, -1
951, -1
43871, -1
8939, -1
37325, -1
21816, -1
41056, -1
44054, -1
19792, -1
3339, -1
2649, -1
10689, -1
43612, -1
4204, -1
39972, -1
95, -1
20266, -1
39994, -1
19359, -1
33449, -1
2588, -1
27011, -1
46477, -1
46365, -1
10934, -1
49320, -1
34596, -1
3492, -1
25758, -1
51181, -1
38352, -1
30129, -1
28400, -1
35119, -1
6118, -1
48129, -1
40150, -1
423, -1
47838, -1
13699, -1
30499, -1
30924, -1
42964, -1
17990, -1
21805, -1
7203, -1
17903, -1
11245, -1
32372, -1
21517, -1
13983, -1
33447, -1
3095, -1
4863, -1
291, -1
50641, -1
39541, -1
8232, -1
13645, -1
18631, -1
7146, -1
37490, -1
23402, -1
8284, -1
26749, -1
48772, -1
29863, -1
20960, -1
5958, -1
20633, -1
