960, 1
2635, 1
3943, 1
887, -1
1172, 1
3338, -1
697, 1
445, 1
1112, 1
1539, 1
4143, 1
2050, 1
387, 1
3681, 1
3832, -1
3551, -1
2442, 1
1924, -1
3525, -1
2316, 1
3568, 1
4048, -1
1532, -1
1675, 1
2176, -1
2429, -1
1060, 1
280, 1
2786, -1
3138, -1
3676, 1
1305, -1
376, 1
775, -1
1036, 1
4113, 1
16, 1
1610, -1
326, 1
3950, 1
116, -1
1144, -1
250, 1
792, 1
3705, 1
1114, 1
1391, 1
34, 1
1023, -1
332, -1
3730, 1
1140, 1
571, 1
2112, 1
2388, 1
2577, 1
3337, -1
1600, 1
4154, 1
1557, -1
2926, 1
1162, 1
595, -1
796, 1
1090, 1
1460, 1
3594, -1
2731, -1
1171, 1
3880, 1
1535, 1
3419, 1
4203, -1
3034, 1
1369, -1
1159, -1
3882, 1
734, 1
1619, 1
1298, -1
3734, -1
3745, 1
3714, -1
672, -1
2645, -1
916, 1
1413, 1
2131, -1
3255, 1
4059, 1
4255, 1
721, -1
458, 1
2561, -1
383, 1
467, -1
2878, -1
2481, 1
3821, 1
21, 1
3840, -1
3463, 1
1914, 1
2297, -1
614, 1
2713, 1
3959, -1
1211, -1
2755, -1
3850, -1
3361, 1
2369, -1
1105, 1
22, -1
657, 1
3162, -1
2555, 1
4034, -1
2870, 1
3760, 1
114, -1
1237, 1
3932, 1
1998, -1
937, 1
3579, 1
2603, -1
114, 1
1129, -1
1356, 1
968, 1
3706, -1
522, -1
1054, -1
4138, 1
2783, -1
37, 1
498, 1
2195, 1
639, 1
1510, -1
3967, 1
4113, 1
3319, 1
1434, -1
385, -1
4275, -1
99, 1
1591, -1
4006, 1
341, 1
1679, -1
2778, -1
1112, 1
2008, -1
3726, -1
1680, 1
2174, -1
3476, -1
4335, -1
578, 1
1816, 1
978, -1
456, -1
2353, 1
2581, -1
2317, -1
1489, -1
1160, 1
896, -1
45, 1
3892, -1
1517, 1
2980, -1
2882, -1
3490, 1
2664, 1
1153, -1
586, -1
304, -1
657, 1
1392, 1
4369, -1
2136, -1
3676, -1
3985, -1
3538, -1
950, 1
107, 1
1044, 1
231, 1
3389, 1
4173, 1
2192, 1
1702, 1
1913, 1
3446, 1
1729, 1
244, 1
3216, 1
2180, 1
4273, 1
513, 1
701, 1
1210, 1
528, 1
2517, -1
287, 1
1051, -1
4142, 1
2756, -1
1309, -1
3690, 1
3498, -1
2644, 1
